id,nome,codigo_ibge,lat,lon
120,Mogi das Cruzes,3530607,-23.5234284,-46.1926671
121,Mombuca,3530904,-22.9293093,-47.5650724
122,Mongaguá,3531100,-24.0959454,-46.6234361
123,Monte Alegre do Sul,3531209,-22.681861,-46.6798783
124,Monte Mor,3531803,-22.945043,-47.312182
125,Morungaba,3532009,-22.88,-46.79167
126,Nazaré Paulista,3532405,-23.1819309,-46.3992986
127,Nova Campina,3532827,-24.1225305,-48.9054041
128,Nova Odessa,3533403,-22.7805746,-47.2993805
129,Osasco,3534401,-23.5324859,-46.7916801
130,Paranapanema,3535804,-23.390161,-48.720868
131,Pariquera-Açu,3536208,-24.7146891,-47.8802361
132,Paulínia,3536505,-22.7630391,-47.1532213
133,Pedra Bela,3536802,-22.7950193,-46.4431811
134,Pedreira,3537107,-22.741347,-46.894846
135,Pedro de Toledo,3537206,-24.2769071,-47.23393
136,Pereiras,3537503,-23.0743096,-47.9746014
137,Peruíbe,3537602,-24.3218105,-46.9977452
138,Piedade,3537800,-23.7074096,-47.4252319
139,Pilar do Sul,3537909,-23.8121684,-47.7201865
140,Pinhalzinho,3538204,-22.7824349,-46.5901718
141,Piracaia,3538600,-23.052545,-46.359374
142,Piracicaba,3538709,-22.725165,-47.6493269
143,Pirapora do Bom Jesus,3539103,-23.3972146,-47.0025661
144,Porangaba,3540507,-23.17615,-48.119464
145,Porto Feliz,3540606,-23.2110713,-47.5247163
146,Poá,3539806,-23.5249082,-46.3445663
147,Praia Grande,3541000,-24.008979,-46.4144939
148,Quadra,3541653,-23.299332,-48.054657
149,Rafard,3542107,-23.0143559,-47.5306721
150,Registro,3542602,-24.497942,-47.844895
151,Ribeira,3542800,-24.6577435,-49.0086372
152,Ribeirão Branco,3543006,-24.2211495,-48.7678322
153,Ribeirão Grande,3543253,-24.10114,-48.367931
154,Ribeirão Pires,3543303,-23.7134177,-46.4160929
155,Rio Claro,3543907,-22.4100108,-47.5603933
156,Rio Grande da Serra,3544103,-23.7441905,-46.3924746
157,Rio das Pedras,3544004,-22.8441256,-47.6065667
158,Riversul,3543501,-23.8303603,-49.4340558
159,Salesópolis,3545001,-23.528805,-45.84653
160,Saltinho,3545159,-22.8446614,-47.675489
161,Salto,3545209,-23.1989983,-47.2913682
162,Salto de Pirapora,3545308,-23.6492502,-47.5729465
163,Santa Bárbara d'Oeste,3545803,-22.7542539,-47.4137884
164,Santa Cruz da Conceição,3546207,-22.1378975,-47.4555647
165,Santa Cruz das Palmeiras,3546306,-21.823475,-47.248023
166,Santa Gertrudes,3546702,-22.4590897,-47.532034
167,Santa Isabel,3546801,-23.3194222,-46.2271903
168,Santa Maria da Serra,3547007,-22.5691072,-48.157095
169,Santana de Parnaíba,3547304,-23.4446715,-46.9167722
170,Santo André,3547809,-23.6533509,-46.5279039
171,Santo Antônio de Posse,3548005,-22.6053304,-46.9197291
172,Santo Antônio do Jardim,3548104,-22.1158536,-46.6839541
173,Santos,3548500,-23.9609448,-46.3166316
174,Sarapuí,3551108,-23.63974,-47.824863
175,Serra Negra,3551603,-22.6126459,-46.699986
